address,amount
AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,0.01
9uDFnWc9JCg9e23d2LjFa9NEH4upyoPV6ZPpTbP9jeZ9,0.01
GnCRxKqUEPouYMvTb5nJMGrDB3VkTXZnDTaDuVZdnWA3,0.01
57vSaRTqN9iXaemgh4AoDsZ63mcaoshfMK8NP3Z5QNbs,0.01
5c3btNcKH3U3Ntk6b7k45fpAcYaQ5cByCcjqCmd8AGKY,0.01
CCipWf5wR7NBPSZaRsCsDMFyqqwz7bMNAd3LUE5Ww8dD,0.01
H5s8388JNiFMigoy5fhEEED5nB5i2UGPxh1Gh3cBvqQd,0.01
ET5vSczokFz48DnSesodSxEUsKZyXrYNP98vus1SfeP7,0.01
uYpqyDKJ1PB5a2RaPdzoGRs2jGTfueppSNCvzKBoHDk,0.01
HWC7BUc21uebmv6JutL3Mw35cVbYk6N7BNz2uQRCCcof,0.01
6pNNcF513AbYmD358jMJGwGykbqaK9WYmvipsiS1MrnG,0.01
CS5hj5PUVYTgpmC7Teyd4xuZRdT1FVrvbBQyycnuar9W,0.01
6RDoacoVFzybWPr7gF1xPCLfJHfbMBNCX7gn64G9zaHS,0.01
DmfJqqMxqxVNoadnS6ze8K7eHd9r2Tvxqp6YMkN18GAZ,0.01
86Fdgbb3KU5zkb5p3GcQ6Aqy79TwsWmAQxR1SZT6zxd4,0.01
9un5wqE3q4oCjyrDkwsdD48KteCJitQX5978Vh7KKxHo,0.01
8aVpF1E1Q71JWEyGsjASGEfwgYtGxR8qQrrBqNrqxCNs,0.01
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,0.01
FQjuCapumcENdeFu4Eym54ggChShykb4Yac2PFY8wrZa,0.01
8ZxtuY16iRHncgwPwximCkgWvp7tiUq4abidZ6nagH6z,0.01
2J22pgWdiScCC9gxPHTNzrHmmKEs88sH2a77yGTbhEsF,0.01
EgucXZ94UpkjRxZABoVZQ7HVUyiWS9X3E7mH4X68VJkV,0.01
5yymRUBFdC5FZXu6B5xBFK5W1fPakrECJJu9922QHxCH,0.01
Aoy3AeaRfEjaZfPpGGZmr9gRRpyEbqdhCRkqRvxaDvZp,0.01
AHpJZjxfyD9YxvXVhBS96XUsR8crvMfudYDyyYxGZMBz,0.01
A9HAb2MTJ3fYSbFfYHZkdKxd8U2vrawePm6bgPCCuGpM,0.01
ERvXkB4sFxgC11bRCatb34RnGD2HamUyhT5bNfpwMeF3,0.01
5mJWhwMKLjngCAQaaJvDg8zpxDgC9mnACLi7GSLa2KCu,0.01
9F8cSxU5aJDpV2CHpgWw4WWMVUzDovGXF5KmSH6jnNPr,0.01
7RJUFVaEjSftNcKuqKcT3edAU1Ntkkf7Jw6roR6AEHtb,0.01
4RLgwJoZYQw43teeqhBpsPnj5Pz51b3UaeiimT6iT7d2,0.01
AJ1AeJzy56WxrekJ4jtctgkgZ5ST6f1Pug6GuycEusQ3,0.01
3o1pRn1YCBx8U4UCUkmSTnpffyqUwLuCUa34zMVcLEDq,0.01
gdHPU5bcD2u3whSxKhF5ugZj9pJ1NJsMMsC9UmZMhUk,0.01
4ZiroY2oCFKEsGApyTuGLhqrGZL3fTeFUT77y2sLLfQT,0.01
EPhmjnJEDdfH6AUwXFjFeeRfS8BEf3mF8BGnCH5nJRhB,0.01
HuqMdgWuXWdcvcccFFQ2yZjMQMtjEjeTuyzZwBRwAyVP,0.01
EKSAAnJT4zpqqv46a859azqaH1K7fbKowdWMTcuZqzGY,0.01
2exhiGgEGKuveUShvoJwdtkAkL3sXX9Dzh24aPv9kWBj,0.01
9AczmMw7vDpSRzSYfDPaQex7nzRNPcEgBLqvMhUr5iWj,0.01
9fve4nCTys8eMHDjxJiovJ6rgV4RrAA87cdgqfAYdm8Z,0.01
6HdteJAsRTZvQuo6G9tZiKtWWV9uKUYF591zCNs8Nzee,0.01
98xxBZWvCZyvpKYru6oL6H8w22m82CDiL485WwXsvfod,0.01
GRfzDXmeaUDq1gasXahaVb8YWaWPCQjx5qffngBhAYQv,0.01
2k5nDmWKe8A2CV1YqVfS7iHiBYUNVTkm2Fkaz7MuWD3E,0.01
9Yp17gwiUgvdhvo5b2kTNrf1extSRmk3d9T7L5onM1VM,0.01
6gv52xUCjTtVNM4ow66X5FuecUHqWXoWUsdo3zzLn7zn,0.01
BMMWknw6MtPJwLjsGtSWq4p23apP3QyY2x7QoLSNJyKR,0.01
GqbN3PEN6KmZ7Qf5SjdDH18dJtkKy8g597acQgrThKaG,0.01
H5fBiSyGKDicQgiXSLpxbmWmRf4iXm3f15RnTEwTBM5,0.01
AzXH3eeqYP2HomrfexvqXTja23nxKcnFA16q4y1t2xiH,0.01
5maq3ypVKEXAhytcFMCfRf32Tgna3qcUfBAVM4arZMzx,0.01
8RWY1uF6uScr2WqCx51GahBqeg58ekvx5v9CsgLNYEEe,0.01
A8fRKc7gC32fR1Ni2tQ7vhKe1pVREhhkwLcChD5e36tj,0.01
ATwNFPGTerc8WBxnTW4A9N7AvdFyzScqhmWfNjZJWtWW,0.01
6ZRCB7AAqGre6c72PRz3MHLC73VMYvJ8bi9KHf1HFpNk,0.01
EZKLn9SrK8GgdnsHFU7mGi4SGcCKvnR7NjJGGzYs8hJJ,0.01
6iruon3yQ3yCrP8ehAtU6AyzTKMhbUNa44wefa6TjmF8,0.01
BTuqvmU1r4nW9pKeFhcrfhDdAp5UeijnCVe3tqEqB5jx,0.01
HGLewbqqDJVWsL3usfAspRndZtYP4GxgfFV1gziiikBt,0.01
ChN7ks5ox6eHJeVdqx4JrfCzupxiytgwGT4eoBzRtySN,0.01
2N2c2FyhxsvKKr1JdD46az9aSzy6TBbF82tQeucqwjH4,0.01
HAAPdEiNp2aQXFDrwDZcswMxHKzEjne5sWhsp3atXZUt,0.01
GH19NHjmzhKYbmhTCTFzAJYTevmp3J9BEmE7cdLvJPW5,0.01
2gopThH7cL5eQ1uFCkdsqK29vgPciqZwnAy2aoXb9W9z,0.01
GGPaefnKhBL2JNjEZRys5TrL6Gzq5saQPMaJB7SBDStj,0.01
AGbz8HA7mTmDpfvrNFgRMcwtieN7t34FdStSBK6EvGtL,0.01
7k4APQVTeFLmYDeo16rQp2bZTspkPBvLsMV82Zr1zovj,0.01
ez8cNbPJLtoxc1VNCF97QodwcTD65V5GkKzcgK4sGpN,0.01
HWWMKQYacSMSbXmcpQvnhU8UEDAtb7BfBUcQVFnsH3VZ,0.01
CLVLrCvq7eyPZZbcRuvD2J1NcpVV1oKd1aCcAsmwQFkX,0.01
2BJtABwsbm65utCj2STFCgQU3UfB7B7YLPWEBAxjktyP,0.01
UzsTsoUXd7JuLYgn4x15TdsjKBDKZ5yX713JGvfC2FS,0.01
2gWJFQ7emytk4afh8ZXVML8JPTS5WNL81dkJMwVogYNh,0.01
6kn722Enqp3zVHGSozCK8nVEtnt4YcxMEmRGa9vLWTXV,0.01
88xTWZMeKfiTgbfEmPLdsUCQcZinwUfk25EBQZ21XMAZ,0.01
232eW2D1WHKgfdyG8JKrBVyf1F6PQHW49L2HJ9fDuzAi,0.01
C8Pvkae5NyVoRJjCQ7K5PkT1wKMYnhrBiSPLbZUczG9h,0.01
iwGFKqMwDm4Hv2JhffV5hbgyu4nnC3kejKy9gMm9CQF,0.01
9LRHzX3sDiBfgqoo6DT6pEMxZGxWzo2ruL4yCKT8awFT,0.01
38QU8LKVK1Ew5uzsqttamNTTFxvnfzgi2ACQvj3ekuom,0.01
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,0.01
3p7GBbVJ26uJ4qT5BD8yPeSwLFnHWdaPxgk5dhg6EMFK,0.01
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,0.01
CANRdsBYMGJYBmiz2ukSjfrAoVDp9cKu9C8MYAhscx8E,0.01
9NxaDxhaHHE3U5m9Q4WEK1wXHQLRrBMDrKTveyY3fQY6,0.01
HhT1Qmua4WbLuepPwge84Bo5VD59mBDM2sNyfFLzXd9F,0.01
6HB8eajMRZPeNbWn4v4e8v7XPAPvJmunS7afBMPNvzVz,0.01
3tGqWvSzEA5o2avQoG29rFuD5v7fycLe4T2iHM6LxcGc,0.01
3TVt4YfMPbBq27eikm3oxpxcQP2uahbaQVBSoWtUxoFr,0.01
BukM1E5JTTyXCMhDTekaVxFHvqmZWpVVsapKsmGmzhAc,0.01
HDpjQy21uPpniDgBoYZjA5USQqerGKDzaxXNi4Yh2aCu,0.01
3ikgF93WM7oiCk3APBiyG8Xfmi7xzcLb486r2GEMiNjF,0.01
835DwT39kGZUoTnaFnF3GUJ3j21ERFucmcpf8aNhz4XT,0.01
